1513115603773, 0.07421875, 0.07165527, 0.9822998, METAWEAR, SENSOR_ACCEL
1513115603820, 0.07739258, 0.07141113, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115603920, 0.073791504, 0.08068848, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115604017, 0.07775879, 0.07067871, 0.9881592, METAWEAR, SENSOR_ACCEL
1513115604069, 0.07672119, 0.07458496, 0.9879761, METAWEAR, SENSOR_ACCEL
1513115604073, 0.074035645, 0.08239746, 0.9890747, METAWEAR, SENSOR_ACCEL
1513115604076, 0.07672119, 0.056274414, 0.9857788, METAWEAR, SENSOR_ACCEL
1513115604258, 0.07244873, 0.0993042, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115604311, 0.07775879, 0.06750488, 0.9880371, METAWEAR, SENSOR_ACCEL
1513115604314, 0.07171631, 0.068481445, 0.98876953, METAWEAR, SENSOR_ACCEL
1513115604317, 0.075683594, 0.07086182, 0.9871826, METAWEAR, SENSOR_ACCEL
1513115604405, 0.07513428, 0.08154297, 0.9906616, METAWEAR, SENSOR_ACCEL
1513115604504, 0.076293945, 0.079711914, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115604554, 0.07446289, 0.07550049, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115604560, 0.07635498, 0.0703125, 0.989563, METAWEAR, SENSOR_ACCEL
1513115604564, 0.07543945, 0.07421875, 0.9892578, METAWEAR, SENSOR_ACCEL
1513115604604, 0.074523926, 0.07678223, 0.989563, METAWEAR, SENSOR_ACCEL
1513115604610, 0.075683594, 0.0725708, 0.9875488, METAWEAR, SENSOR_ACCEL
1513115604616, 0.07434082, 0.07836914, 0.98913574, METAWEAR, SENSOR_ACCEL
1513115604746, 0.07696533, 0.07733154, 0.9890137, METAWEAR, SENSOR_ACCEL
1513115604751, 0.07556152, 0.075927734, 0.98864746, METAWEAR, SENSOR_ACCEL
1513115604798, 0.07647705, 0.07232666, 0.9890747, METAWEAR, SENSOR_ACCEL
1513115604808, 0.07525635, 0.075683594, 0.98883057, METAWEAR, SENSOR_ACCEL
1513115604816, 0.075805664, 0.076293945, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115604892, 0.074645996, 0.073913574, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115605038, 0.07397461, 0.07446289, 0.98913574, METAWEAR, SENSOR_ACCEL
1513115605091, 0.076171875, 0.0748291, 0.9893799, METAWEAR, SENSOR_ACCEL
1513115605096, 0.07531738, 0.076538086, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115605099, 0.07562256, 0.075805664, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115605233, 0.07366943, 0.07513428, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115605285, 0.07531738, 0.07501221, 0.98950195, METAWEAR, SENSOR_ACCEL
1513115605290, 0.07678223, 0.075683594, 0.9893799, METAWEAR, SENSOR_ACCEL
1513115605333, 0.07611084, 0.075683594, 0.98950195, METAWEAR, SENSOR_ACCEL
1513115605340, 0.074523926, 0.074157715, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115605345, 0.076171875, 0.07531738, 0.98913574, METAWEAR, SENSOR_ACCEL
1513115605382, 0.07611084, 0.07623291, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115605388, 0.073791504, 0.07562256, 0.9893799, METAWEAR, SENSOR_ACCEL
1513115605393, 0.074401855, 0.07507324, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115605477, 0.07489014, 0.07495117, 0.99017334, METAWEAR, SENSOR_ACCEL
1513115605575, 0.07446289, 0.07537842, 0.99072266, METAWEAR, SENSOR_ACCEL
1513115605625, 0.0748291, 0.07598877, 0.99108887, METAWEAR, SENSOR_ACCEL
1513115605770, 0.07531738, 0.075927734, 0.9893799, METAWEAR, SENSOR_ACCEL
1513115605822, 0.07470703, 0.07397461, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115605827, 0.07611084, 0.07611084, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115605833, 0.07562256, 0.076171875, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115605872, 0.07556152, 0.07525635, 0.98876953, METAWEAR, SENSOR_ACCEL
1513115605877, 0.07550049, 0.074279785, 0.99035645, METAWEAR, SENSOR_ACCEL
1513115605881, 0.07543945, 0.075683594, 0.989563, METAWEAR, SENSOR_ACCEL
