1518705124826, -0.042, 0.253, 1.023, METAWEAR, SENSOR_ACCEL
1518705251675, 0.367, -0.949, 0.329, METAWEAR, SENSOR_ACCEL
1518705251878, 0.431, -0.703, 0.196, METAWEAR, SENSOR_ACCEL
1518705252025, -0.083, -0.481, 0.048, METAWEAR, SENSOR_ACCEL
1518705252175, 0.053, -0.688, -0.098, METAWEAR, SENSOR_ACCEL
1518705252325, 0.523, -0.838, -0.183, METAWEAR, SENSOR_ACCEL
1518705252475, 0.233, -0.947, 0.081, METAWEAR, SENSOR_ACCEL
1518705252625, 0.137, -1.149, 0.241, METAWEAR, SENSOR_ACCEL
1518705252775, 0.78, -0.612, -0.104, METAWEAR, SENSOR_ACCEL
1518705253025, 0.064, -0.944, -0.273, METAWEAR, SENSOR_ACCEL
1518705253125, 0.103, -0.856, -0.478, METAWEAR, SENSOR_ACCEL
1518705253225, 0.007, -0.632, -0.197, METAWEAR, SENSOR_ACCEL
1518705253278, 0.177, -0.647, -0.211, METAWEAR, SENSOR_ACCEL
1518705253425, 0.318, -0.707, -0.499, METAWEAR, SENSOR_ACCEL
1518705253475, 0.43, -0.623, -0.461, METAWEAR, SENSOR_ACCEL
1518705253675, 0.405, -0.773, -0.424, METAWEAR, SENSOR_ACCEL
1518705253725, 0.422, -0.767, -0.446, METAWEAR, SENSOR_ACCEL
1518705253877, 0.414, -0.589, -0.254, METAWEAR, SENSOR_ACCEL
1518705253926, 0.794, -0.511, -0.178, METAWEAR, SENSOR_ACCEL
1518705254077, -0.386, -0.731, 0.101, METAWEAR, SENSOR_ACCEL
1518705254126, -0.624, -0.869, 0.214, METAWEAR, SENSOR_ACCEL
1518705254275, 0.285, -1.061, 0.516, METAWEAR, SENSOR_ACCEL
1518705254326, 0.183, -0.995, 0.46, METAWEAR, SENSOR_ACCEL
1518705254525, 0.344, -0.706, 1.099, METAWEAR, SENSOR_ACCEL
1518705254575, 0.676, -0.225, 1.034, METAWEAR, SENSOR_ACCEL
1518705254725, 0.221, -0.196, 1.056, METAWEAR, SENSOR_ACCEL
1518705254775, 0.117, -0.09, 1.096, METAWEAR, SENSOR_ACCEL
1518705254925, 0.162, -0.015, 1.147, METAWEAR, SENSOR_ACCEL
1518705254975, 0.008, 0.064, 1.103, METAWEAR, SENSOR_ACCEL
1518705255127, -0.003, 0.113, 1.052, METAWEAR, SENSOR_ACCEL
1518705255175, -0.004, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705255325, -0.005, 0.11, 1.05, METAWEAR, SENSOR_ACCEL
1518705255375, -0.004, 0.108, 1.051, METAWEAR, SENSOR_ACCEL
1518705255524, -0.003, 0.112, 1.053, METAWEAR, SENSOR_ACCEL
1518705255575, -0.005, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705255625, -0.006, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705255825, -0.003, 0.108, 1.053, METAWEAR, SENSOR_ACCEL
1518705255975, -0.007, 0.108, 1.049, METAWEAR, SENSOR_ACCEL
1518705256025, -0.004, 0.108, 1.05, METAWEAR, SENSOR_ACCEL
1518705256175, -0.005, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705256225, -0.006, 0.107, 1.052, METAWEAR, SENSOR_ACCEL
1518705256375, -0.005, 0.108, 1.052, METAWEAR, SENSOR_ACCEL
1518705256425, -0.005, 0.108, 1.052, METAWEAR, SENSOR_ACCEL
1518705256625, -0.004, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705256675, -0.006, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705256825, -0.004, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705256875, -0.003, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705257075, -0.003, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
1518705257225, -0.006, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705257275, -0.004, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705257427, -0.005, 0.107, 1.05, METAWEAR, SENSOR_ACCEL
1518705257475, -0.006, 0.108, 1.05, METAWEAR, SENSOR_ACCEL
1518705257675, -0.006, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705257725, -0.004, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705257875, -0.005, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705257925, -0.003, 0.108, 1.052, METAWEAR, SENSOR_ACCEL
1518705258081, -0.005, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705258125, -0.004, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705258325, -0.009, 0.107, 1.051, METAWEAR, SENSOR_ACCEL
1518705258375, -0.006, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705258475, -0.006, 0.11, 1.051, METAWEAR, SENSOR_ACCEL
1518705258526, -0.006, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705258575, -0.004, 0.108, 1.052, METAWEAR, SENSOR_ACCEL
1518705258776, -0.006, 0.107, 1.051, METAWEAR, SENSOR_ACCEL
1518705258825, -0.006, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705258977, -0.005, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705259025, -0.006, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705259175, -0.004, 0.109, 1.052, METAWEAR, SENSOR_ACCEL
1518705259225, -0.004, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705259425, -0.003, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705259475, -0.005, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705259675, -0.004, 0.112, 1.052, METAWEAR, SENSOR_ACCEL
1518705259725, -0.003, 0.109, 1.05, METAWEAR, SENSOR_ACCEL
1518705259775, -0.005, 0.109, 1.051, METAWEAR, SENSOR_ACCEL
1518705259875, -0.004, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705259925, -0.004, 0.111, 1.051, METAWEAR, SENSOR_ACCEL
1518705260076, -0.004, 0.112, 1.051, METAWEAR, SENSOR_ACCEL
1518705260125, -0.003, 0.11, 1.052, METAWEAR, SENSOR_ACCEL
