1518705251625, -126.341, -215.122, 98.415, METAWEAR, SENSOR_GYRO
1518705251725, -130.244, -227.988, 128.049, METAWEAR, SENSOR_GYRO
1518705251826, -154.39, -229.878, 221.829, METAWEAR, SENSOR_GYRO
1518705251925, -166.402, -222.805, 280.244, METAWEAR, SENSOR_GYRO
1518705251976, -127.622, -217.988, 229.878, METAWEAR, SENSOR_GYRO
1518705252077, -54.756, -205.671, 102.622, METAWEAR, SENSOR_GYRO
1518705252125, 20.488, -148.476, -0.061, METAWEAR, SENSOR_GYRO
1518705252225, 72.5, -52.439, -7.439, METAWEAR, SENSOR_GYRO
1518705252275, 76.89, 6.037, 78.354, METAWEAR, SENSOR_GYRO
1518705252375, 57.622, 15.61, 90.671, METAWEAR, SENSOR_GYRO
1518705252425, 25.61, 22.012, 58.598, METAWEAR, SENSOR_GYRO
1518705252525, -26.098, 51.89, 47.439, METAWEAR, SENSOR_GYRO
1518705252575, -112.561, 91.037, -10.122, METAWEAR, SENSOR_GYRO
1518705252675, -207.866, 135, -51.646, METAWEAR, SENSOR_GYRO
1518705252725, -248.476, 161.22, -7.378, METAWEAR, SENSOR_GYRO
1518705252825, -205.976, 141.707, 24.878, METAWEAR, SENSOR_GYRO
1518705252876, -192.683, 23.476, -73.72, METAWEAR, SENSOR_GYRO
1518705252925, 94.634, -86.646, 104.146, METAWEAR, SENSOR_GYRO
1518705252975, -20.732, 88.415, 105.122, METAWEAR, SENSOR_GYRO
1518705253176, 78.232, -7.195, -51.646, METAWEAR, SENSOR_GYRO
1518705253325, -83.11, -29.207, -17.744, METAWEAR, SENSOR_GYRO
1518705253375, 5.244, -73.415, -33.78, METAWEAR, SENSOR_GYRO
1518705253526, 16.707, 1.707, -39.085, METAWEAR, SENSOR_GYRO
1518705253575, -12.439, 20.61, -32.317, METAWEAR, SENSOR_GYRO
1518705253625, 12.988, 19.085, 14.634, METAWEAR, SENSOR_GYRO
1518705253775, 10.61, -6.159, 14.024, METAWEAR, SENSOR_GYRO
1518705253826, 16.524, -8.598, 16.524, METAWEAR, SENSOR_GYRO
1518705253976, 153.171, -185.427, 311.159, METAWEAR, SENSOR_GYRO
1518705254025, 156.402, -213.415, 247.5, METAWEAR, SENSOR_GYRO
1518705254175, 126.768, -47.683, -277.561, METAWEAR, SENSOR_GYRO
1518705254225, 127.866, 72.073, -288.476, METAWEAR, SENSOR_GYRO
1518705254426, -84.085, 183.72, -454.756, METAWEAR, SENSOR_GYRO
1518705254475, -37.744, 226.829, -294.512, METAWEAR, SENSOR_GYRO
1518705254625, 52.927, 94.939, -127.805, METAWEAR, SENSOR_GYRO
1518705254675, 10.915, 85.488, -98.963, METAWEAR, SENSOR_GYRO
1518705254825, 22.012, 49.573, 0.183, METAWEAR, SENSOR_GYRO
1518705254878, 78.11, 89.207, -7.256, METAWEAR, SENSOR_GYRO
1518705255025, -0.366, 0.122, 16.951, METAWEAR, SENSOR_GYRO
1518705255077, 0.427, -0.488, -1.28, METAWEAR, SENSOR_GYRO
1518705255225, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705255274, 0, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705255425, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705255475, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705255734, 0.061, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518705255775, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705255875, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705255925, 0.061, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518705256075, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705256125, 0, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705256275, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705256325, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705256475, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705256525, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705256575, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705256725, 0, -0.732, 0.305, METAWEAR, SENSOR_GYRO
1518705256775, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705256925, 0.122, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705257025, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705257125, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705257175, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705257325, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705257375, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705257525, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705257575, 0.183, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705257625, 0.061, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518705257776, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705257825, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705257975, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705258025, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705258181, 0.061, -0.732, 0.244, METAWEAR, SENSOR_GYRO
1518705258225, 0.122, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518705258426, 0.061, -0.549, 0.244, METAWEAR, SENSOR_GYRO
1518705258626, 0, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705258675, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705258875, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705258925, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705259077, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705259127, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705259326, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705259375, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705259526, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705259625, 0, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705259825, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705259975, 0.061, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518705260025, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705260175, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705260325, 0.061, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518705260375, 0.061, -0.671, 0.122, METAWEAR, SENSOR_GYRO
1518705260525, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705260576, 0.122, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705260625, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705260726, 0.122, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705260775, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705260975, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705261126, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705261175, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705261375, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705261425, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705261575, 0.122, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705261625, 0.061, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518705261676, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705261825, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705261875, 0, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705262025, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705262075, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705262275, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705262325, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705262425, 0.122, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518705262489, 0.061, -0.732, 0.366, METAWEAR, SENSOR_GYRO
1518705262675, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705262725, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705262825, 0.122, -0.732, 0.244, METAWEAR, SENSOR_GYRO
1518705262875, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705263025, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705263075, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705263225, 0.122, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705263275, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705263425, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705263525, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705263675, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705263725, 0.061, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518705263875, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705263925, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705264075, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705264126, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705264275, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705264325, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705264476, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705264525, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705264726, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705264825, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705264925, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705264975, 0.061, -0.732, 0.366, METAWEAR, SENSOR_GYRO
1518705265125, 0.244, -0.549, 0.366, METAWEAR, SENSOR_GYRO
1518705265175, 0.061, -0.732, 0.183, METAWEAR, SENSOR_GYRO
1518705265325, 0.061, -0.61, 0.061, METAWEAR, SENSOR_GYRO
1518705265375, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705265525, 0.061, -0.671, 0.488, METAWEAR, SENSOR_GYRO
1518705265575, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705265625, 0.061, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518705265774, 0.061, -0.793, 0.366, METAWEAR, SENSOR_GYRO
1518705265825, 0.061, -0.732, 0.549, METAWEAR, SENSOR_GYRO
1518705265974, 0.061, -0.61, 0.427, METAWEAR, SENSOR_GYRO
1518705266025, 0.061, -0.732, 0.305, METAWEAR, SENSOR_GYRO
1518705266274, 0.122, -0.671, 0.427, METAWEAR, SENSOR_GYRO
1518705266424, 0, -0.549, 0.244, METAWEAR, SENSOR_GYRO
1518705266475, 0.122, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518705266675, 0.122, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518705266726, 0.122, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518705266775, 0.061, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518705266925, 0.061, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518705266975, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705267125, 0.122, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705267175, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705267325, 0.061, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518705267426, 0.122, -0.732, 0.305, METAWEAR, SENSOR_GYRO
1518705267575, 0, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705267725, 0.122, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518705267775, 0.122, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518705267925, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705268075, 0.122, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705268125, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705268275, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705268325, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705268475, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705268525, 0.122, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518705268775, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705268928, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705268975, 0.122, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518705269125, 0, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705269175, 0, -0.488, 0.183, METAWEAR, SENSOR_GYRO
1518705269326, 0.183, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705269375, 0.244, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705269525, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705269578, 0, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705269625, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705269776, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518705269825, 0, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705270026, 0, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518705270075, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518705270175, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705270225, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518705270375, 0.183, -0.732, 0.244, METAWEAR, SENSOR_GYRO
1518705270425, 0, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518705270575, 0.061, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518705270625, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518705270675, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706397504, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706397510, 0.061, -0.732, 0.305, METAWEAR, SENSOR_GYRO
1518706397553, 0.183, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518706397558, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706397560, 0, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706397605, 0, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706397606, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518706519653, 18.659, -44.634, 65.427, METAWEAR, SENSOR_GYRO
1518706519753, 55.488, -48.537, 83.293, METAWEAR, SENSOR_GYRO
1518706519804, 103.293, -86.341, 106.951, METAWEAR, SENSOR_GYRO
1518706519903, 57.5, -131.951, 82.439, METAWEAR, SENSOR_GYRO
1518706519953, -50.122, -102.195, 65.793, METAWEAR, SENSOR_GYRO
1518706520053, -81.463, -33.902, 52.927, METAWEAR, SENSOR_GYRO
1518706520103, -57.195, -5.244, 31.524, METAWEAR, SENSOR_GYRO
1518706520253, -61.341, -4.573, 9.329, METAWEAR, SENSOR_GYRO
1518706520303, -102.927, 7.134, -0.549, METAWEAR, SENSOR_GYRO
1518706520454, -141.341, 37.378, -36.402, METAWEAR, SENSOR_GYRO
1518706520503, -159.634, 68.598, -70.488, METAWEAR, SENSOR_GYRO
1518706520603, -163.78, 92.927, -90, METAWEAR, SENSOR_GYRO
1518706520654, -146.402, 109.634, -75.488, METAWEAR, SENSOR_GYRO
1518706520753, -84.695, 106.707, -41.22, METAWEAR, SENSOR_GYRO
1518706520803, -4.573, 63.171, -11.646, METAWEAR, SENSOR_GYRO
1518706520906, 31.585, 5.61, -23.354, METAWEAR, SENSOR_GYRO
1518706520953, -7.5, 0.488, -53.415, METAWEAR, SENSOR_GYRO
1518706521053, -78.476, 51.524, -71.463, METAWEAR, SENSOR_GYRO
1518706521105, -78.415, 70.244, -43.049, METAWEAR, SENSOR_GYRO
1518706521254, 19.878, 14.512, 0.671, METAWEAR, SENSOR_GYRO
1518706521303, 67.805, -24.268, 6.341, METAWEAR, SENSOR_GYRO
1518706521403, 24.573, 1.768, -15.061, METAWEAR, SENSOR_GYRO
1518706521455, -46.585, 36.646, -40.732, METAWEAR, SENSOR_GYRO
1518706521653, -9.695, -15.122, -3.659, METAWEAR, SENSOR_GYRO
1518706521704, -83.659, -24.268, -15.976, METAWEAR, SENSOR_GYRO
1518706521803, -81.28, -105.122, 31.585, METAWEAR, SENSOR_GYRO
1518706521854, -106.829, -100.183, -24.573, METAWEAR, SENSOR_GYRO
1518706522003, -47.317, -66.951, -28.72, METAWEAR, SENSOR_GYRO
1518706522053, -6.707, -78.049, -38.963, METAWEAR, SENSOR_GYRO
1518706522203, 12.073, 23.232, -13.78, METAWEAR, SENSOR_GYRO
1518706522253, -13.171, 37.134, -15.427, METAWEAR, SENSOR_GYRO
1518706522403, 6.768, -9.39, 1.707, METAWEAR, SENSOR_GYRO
1518706522456, -11.28, -17.195, -17.317, METAWEAR, SENSOR_GYRO
1518706522603, -24.207, -4.878, -7.744, METAWEAR, SENSOR_GYRO
1518706522853, -0.427, -0.549, 4.573, METAWEAR, SENSOR_GYRO
1518706522904, -0.976, -0.671, -0.915, METAWEAR, SENSOR_GYRO
1518706523003, 0.671, -0.793, -1.707, METAWEAR, SENSOR_GYRO
1518706523053, -1.098, 0.061, 18.963, METAWEAR, SENSOR_GYRO
1518706523203, 0.671, -0.488, 0.732, METAWEAR, SENSOR_GYRO
1518706523256, -1.524, 1.951, 49.329, METAWEAR, SENSOR_GYRO
1518706523403, -0.061, 0.183, 15.976, METAWEAR, SENSOR_GYRO
1518706523453, 0.732, -1.524, -13.232, METAWEAR, SENSOR_GYRO
1518706523604, 0.366, -1.89, -25.793, METAWEAR, SENSOR_GYRO
1518706523653, 0.244, -0.427, 3.537, METAWEAR, SENSOR_GYRO
1518706523904, 0.854, -1.341, -8.354, METAWEAR, SENSOR_GYRO
