1518705159969, -0.008, 0.123, 1.017, METAWEAR, SENSOR_ACCEL
1518705159990, -0.007, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705160020, -0.008, 0.124, 1.02, METAWEAR, SENSOR_ACCEL
1518705160070, -0.008, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705160117, -0.008, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705160167, -0.01, 0.122, 1.021, METAWEAR, SENSOR_ACCEL
1518705160175, -0.009, 0.122, 1.021, METAWEAR, SENSOR_ACCEL
1518705160221, -0.008, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705160270, -0.009, 0.123, 1.02, METAWEAR, SENSOR_ACCEL
1518705160317, -0.009, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705160367, -0.009, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705160373, -0.007, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705160422, -0.008, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705160475, -0.009, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705160518, -0.009, 0.124, 1.02, METAWEAR, SENSOR_ACCEL
1518705160568, -0.009, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705160582, -0.009, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705160620, -0.009, 0.125, 1.022, METAWEAR, SENSOR_ACCEL
1518705160721, -0.007, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705160726, -0.008, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705160768, -0.009, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705160775, -0.009, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705160924, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705160930, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705160952, -0.008, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705160970, -0.009, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705160975, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161019, -0.008, 0.122, 1.021, METAWEAR, SENSOR_ACCEL
1518705161119, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161224, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161239, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161254, -0.008, 0.122, 1.021, METAWEAR, SENSOR_ACCEL
1518705161273, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161278, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705161317, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161368, -0.007, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161417, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705161424, -0.008, 0.124, 1.021, METAWEAR, SENSOR_ACCEL
1518705161472, -0.009, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705161521, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161569, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705161619, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705161626, -0.009, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705161722, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161726, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705161769, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705161818, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705161825, -0.008, 0.122, 1.021, METAWEAR, SENSOR_ACCEL
1518705161873, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705161922, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705161967, -0.007, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705162019, -0.008, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705162026, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705162073, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705162119, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705162167, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705162218, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705162227, -0.01, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705162272, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705162321, -0.007, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705162368, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705162418, -0.009, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705162425, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705162472, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705162522, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705162568, -0.009, 0.122, 1.023, METAWEAR, SENSOR_ACCEL
1518705162618, -0.008, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705162625, -0.009, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705162674, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705162724, -0.009, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705162768, -0.01, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705162818, -0.008, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705162826, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705162871, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705162922, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705163019, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705163058, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705163064, -0.007, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705163099, -0.008, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705163119, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705163167, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705163217, -0.009, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705163224, -0.009, 0.122, 1.024, METAWEAR, SENSOR_ACCEL
1518705163272, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705163322, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705163368, -0.006, 0.124, 1.024, METAWEAR, SENSOR_ACCEL
1518705163418, -0.009, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705163425, -0.009, 0.122, 1.023, METAWEAR, SENSOR_ACCEL
1518705163471, -0.007, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705163521, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705163569, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705163618, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705163668, -0.008, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705163675, -0.009, 0.122, 1.021, METAWEAR, SENSOR_ACCEL
1518705163719, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705163775, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705163818, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705163872, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705163878, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705163921, -0.007, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705163972, -0.007, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164018, -0.009, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705164068, -0.009, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705164075, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164120, -0.01, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705164172, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164218, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164318, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164326, -0.008, 0.122, 1.024, METAWEAR, SENSOR_ACCEL
1518705164329, -0.01, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705164372, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164467, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705164475, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705164478, -0.008, 0.122, 1.023, METAWEAR, SENSOR_ACCEL
1518705164522, -0.008, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705164570, -0.008, 0.125, 1.023, METAWEAR, SENSOR_ACCEL
1518705164618, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705164668, -0.009, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705164675, -0.009, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705164724, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705164773, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164819, -0.009, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705164868, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705164875, -0.007, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705164925, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705164972, -0.008, 0.122, 1.023, METAWEAR, SENSOR_ACCEL
1518705165017, -0.008, 0.124, 1.022, METAWEAR, SENSOR_ACCEL
1518705165067, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705165078, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705165122, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705165169, -0.008, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705165217, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705165269, -0.009, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705165276, -0.008, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705165321, -0.009, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705165373, -0.007, 0.125, 1.022, METAWEAR, SENSOR_ACCEL
1518705165417, -0.01, 0.121, 1.021, METAWEAR, SENSOR_ACCEL
1518705165470, -0.009, 0.122, 1.023, METAWEAR, SENSOR_ACCEL
1518705165475, -0.011, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705165521, -0.004, 0.127, 1.022, METAWEAR, SENSOR_ACCEL
1518705165676, -0.008, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705165692, -0.011, 0.123, 1.024, METAWEAR, SENSOR_ACCEL
1518705165710, -0.011, 0.119, 1.025, METAWEAR, SENSOR_ACCEL
1518705165728, -0.007, 0.123, 1.022, METAWEAR, SENSOR_ACCEL
1518705165742, -0.007, 0.124, 1.023, METAWEAR, SENSOR_ACCEL
1518705165770, -0.007, 0.127, 1.022, METAWEAR, SENSOR_ACCEL
1518705165820, -0.008, 0.123, 1.023, METAWEAR, SENSOR_ACCEL
1518705165869, -0.011, 0.121, 1.021, METAWEAR, SENSOR_ACCEL
1518705165924, -0.01, 0.121, 1.024, METAWEAR, SENSOR_ACCEL
1518705165927, -0.008, 0.125, 1.021, METAWEAR, SENSOR_ACCEL
1518705165969, -0.004, 0.125, 1.023, METAWEAR, SENSOR_ACCEL
1518705166020, -0.008, 0.123, 1.021, METAWEAR, SENSOR_ACCEL
1518705166069, -0.009, 0.122, 1.024, METAWEAR, SENSOR_ACCEL
1518705166121, -0.011, 0.121, 1.024, METAWEAR, SENSOR_ACCEL
1518705166124, -0.008, 0.122, 1.024, METAWEAR, SENSOR_ACCEL
1518705166170, -0.009, 0.125, 1.022, METAWEAR, SENSOR_ACCEL
