1518705159973, -0.488, -0.305, -0.305, METAWEAR, SENSOR_GYRO
1518705159991, -0.854, -0.366, 0.183, METAWEAR, SENSOR_GYRO
1518705160017, -0.671, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705160021, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160068, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705160072, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160074, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160120, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160122, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160172, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160174, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705160176, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160217, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160223, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705160267, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160272, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160276, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160319, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160320, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160370, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160372, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160375, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160418, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160425, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160469, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160489, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160490, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160522, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160523, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705160574, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160578, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160587, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160617, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160622, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160717, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160722, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160725, -0.549, -0.549, 0.061, METAWEAR, SENSOR_GYRO
1518705160728, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705160729, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705160771, -0.549, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705160772, -0.488, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705160782, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705160919, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
