1518705159389, null, null, null, METAWEAR, LED_SYNC
1518705205182, null, null, null, METAWEAR, LED_SYNC
1518705243625, null, null, null, METAWEAR, LED_SYNC
1518706517976, null, null, null, METAWEAR, LED_SYNC
1518708216424, null, null, null, METAWEAR, LED_SYNC
1518708331867, null, null, null, METAWEAR, LED_SYNC
1518708617913, null, null, null, METAWEAR, LED_SYNC
1518709744223, null, null, null, METAWEAR, LED_SYNC
1518710161777, null, null, null, METAWEAR, LED_SYNC
1518710411180, null, null, null, METAWEAR, LED_SYNC
1518711403650, null, null, null, METAWEAR, LED_SYNC
1518712213624, null, null, null, METAWEAR, LED_SYNC
1518712261426, null, null, null, METAWEAR, LED_SYNC
1518712491638, null, null, null, METAWEAR, LED_SYNC
1518712765227, null, null, null, METAWEAR, LED_SYNC
1518712922382, null, null, null, METAWEAR, LED_SYNC
1518713108493, null, null, null, METAWEAR, LED_SYNC
1518713558012, null, null, null, METAWEAR, LED_SYNC
1518713926759, null, null, null, METAWEAR, LED_SYNC
1518714009294, null, null, null, METAWEAR, LED_SYNC
1518714038147, null, null, null, METAWEAR, LED_SYNC
1518714065508, null, null, null, METAWEAR, LED_SYNC
1518714095955, null, null, null, METAWEAR, LED_SYNC
1518714138356, null, null, null, METAWEAR, LED_SYNC
1518714376268, null, null, null, METAWEAR, LED_SYNC
1518714376268, null, null, null, METAWEAR, LED_SYNC
1518714655318, null, null, null, METAWEAR, LED_SYNC
1518714655318, null, null, null, METAWEAR, LED_SYNC
1518714683271, null, null, null, METAWEAR, LED_SYNC
1518714683271, null, null, null, METAWEAR, LED_SYNC
1518714683271, null, null, null, METAWEAR, LED_SYNC
1518715139134, null, null, null, METAWEAR, LED_SYNC
1518715187255, null, null, null, METAWEAR, LED_SYNC
1518715441599, null, null, null, METAWEAR, LED_SYNC
1518715782607, null, null, null, METAWEAR, LED_SYNC
1518715816743, null, null, null, METAWEAR, LED_SYNC
1518715849904, null, null, null, METAWEAR, LED_SYNC
1518715854508, null, null, null, METAWEAR, LED_SYNC
1518715899122, null, null, null, METAWEAR, LED_SYNC
